Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,Kenya,Clothes,Online,M,03/20/2017,688096942,03/30/2017,4663,571.17,407.62,2663365.71,1900732.06,762633.65
Central America and the Caribbean,Australia,Fruits,Online,H,03/09/2014,493173079,04/04/2014,5204,434.26,275.49,2259889.04,1433649.96,826239.08
Australia and Oceania,India,Cosmetics,Offline,M,07/22/2011,590593079,07/25/2011,8936,132.1,101.89,1180445.6,910489.04,269956.56
Middle East and North Africa,India,Household,Offline,H,05/11/2016,706512857,06/02/2016,7130,21.21,17.36,151227.3,123776.8,27450.5
Central America and the Caribbean,Brazil,Cosmetics,Online,M,10/08/2021,126552790,10/18/2021,4574,269.93,222.1,1234659.82,1015885.4,218774.42
Asia,Kenya,Fruits,Offline,M,08/21/2017,442749240,08/22/2017,7707,217.09,134.73,1673112.63,1038364.11,634748.52
Asia,Mexico,Meat,Offline,H,08/16/2018,201160886,09/13/2018,1286,580.88,371.84,747011.68,478186.24,268825.44
Asia,Mexico,Household,Offline,H,11/01/2013,117638856,11/04/2013,3115,455.89,333.02,1420097.35,1037357.3,382740.05
Sub-Saharan Africa,Australia,Cereal,Online,H,02/12/2013,230144238,03/01/2013,8037,670.68,523.03,5390255.16,4203592.11,1186663.05
Central America and the Caribbean,France,Clothes,Online,H,06/20/2019,736943763,07/18/2019,10564,695.46,423.04,7346839.44,4468994.56,2877844.88
Europe,USA,Fruits,Online,H,12/27/2015,923493742,01/19/2016,8320,686.47,601.97,5711430.4,5008390.4,703040
Central America and the Caribbean,India,Beverages,Online,L,08/20/2010,793457387,08/28/2010,2687,670.2,573.22,1800827.4,1540242.14,260585.26
Central America and the Caribbean,UAE,Personal Care,Offline,L,04/22/2014,289176457,05/03/2014,589,624.34,397.19,367736.26,233944.91,133791.35
Central America and the Caribbean,Australia,Baby Food,Offline,L,08/22/2019,581328402,09/15/2019,3531,599.15,446.54,2115598.65,1576732.74,538865.91
Europe,India,Personal Care,Online,H,03/30/2019,889743610,04/21/2019,121,230.08,152.39,27839.68,18439.19,9400.49
Middle East and North Africa,France,Office Supplies,Online,L,09/10/2012,976524412,09/20/2012,11802,89.44,54.77,1055570.88,646395.54,409175.34
Australia and Oceania,Brazil,Vegetables,Offline,H,12/23/2015,157170205,01/02/2016,4136,71.35,49.56,295103.6,204980.16,90123.44
Australia and Oceania,UAE,Meat,Offline,H,03/24/2014,343804306,03/29/2014,881,80.44,71.51,70867.64,63000.31,7867.33
Europe,Germany,Fruits,Online,H,05/02/2017,351031076,05/13/2017,8270,302.99,189.13,2505727.3,1564105.1,941622.2
North America,Australia,Clothes,Online,M,11/06/2013,424114849,11/20/2013,11425,95.21,65.95,1087774.25,753478.75,334295.5
Asia,Brazil,Beverages,Online,M,12/17/2015,696782663,01/10/2016,11833,301.88,194.34,3572146.04,2299625.22,1272520.82
Central America and the Caribbean,Germany,Cereal,Online,H,09/01/2013,758681129,09/04/2013,8427,652.43,567.5,5498027.61,4782322.5,715705.11
Sub-Saharan Africa,India,Office Supplies,Online,M,02/26/2019,279974236,03/22/2019,7140,670.99,558.9,4790868.6,3990546,800322.6
Middle East and North Africa,Mexico,Meat,Offline,L,10/30/2019,519136407,11/24/2019,8674,79.11,64.79,686200.14,561988.46,124211.68
Central America and the Caribbean,Mexico,Beverages,Online,M,06/19/2017,120767205,07/03/2017,9631,679.51,580.01,6544360.81,5586076.31,958284.5
Middle East and North Africa,France,Cereal,Online,H,10/14/2020,485044523,11/11/2020,6896,672.19,509.31,4635422.24,3512201.76,1123220.48
North America,Australia,Clothes,Online,H,12/28/2014,236376782,01/08/2015,11175,508.94,426.96,5687404.5,4771278,916126.5
Central America and the Caribbean,Germany,Office Supplies,Online,H,01/22/2016,442959478,02/04/2016,3561,495.57,365.19,1764724.77,1300441.59,464283.18
Australia and Oceania,Mexico,Cosmetics,Online,L,04/13/2011,594560236,05/06/2011,11396,69.9,61.61,796580.4,702107.56,94472.84
Asia,Japan,Cosmetics,Offline,H,03/26/2017,977317151,04/13/2017,11733,9.57,8.6,112284.81,100903.8,11381.01
North America,Germany,Clothes,Offline,M,06/04/2010,656828097,06/05/2010,2350,98.93,84.21,232485.5,197893.5,34592
Australia and Oceania,India,Clothes,Offline,H,08/01/2021,627333667,08/21/2021,2564,360.38,270.83,924014.32,694408.12,229606.2
North America,Brazil,Personal Care,Offline,L,09/07/2022,694206384,09/18/2022,8106,40.03,29.99,324483.18,243098.94,81384.24
Sub-Saharan Africa,Germany,Clothes,Offline,M,07/17/2020,412413502,07/27/2020,2728,115.39,90.26,314783.92,246229.28,68554.64
Middle East and North Africa,Brazil,Fruits,Offline,L,01/18/2014,768737650,02/10/2014,4386,162.18,139.32,711321.48,611057.52,100263.96
North America,Brazil,Meat,Offline,M,08/14/2015,895121517,08/24/2015,340,148.85,107.62,50609,36590.8,14018.2
Europe,USA,Personal Care,Online,L,02/05/2020,659861704,03/06/2020,3658,153.91,112.22,563002.78,410500.76,152502.02
Central America and the Caribbean,India,Beverages,Online,L,09/23/2011,714260300,10/18/2011,882,329.88,218.51,290954.16,192725.82,98228.34
Australia and Oceania,Germany,Cosmetics,Offline,C,10/21/2013,871793313,11/09/2013,11859,600.79,429.31,7124768.61,5091187.29,2033581.32
Europe,Brazil,Baby Food,Offline,M,12/30/2015,271033153,01/06/2016,4757,598.89,470.59,2848919.73,2238596.63,610323.1
Middle East and North Africa,Brazil,Vegetables,Offline,M,10/18/2021,411720692,11/12/2021,10977,657.13,400.8,7213316.01,4399581.6,2813734.41
Middle East and North Africa,Germany,Baby Food,Online,L,02/22/2020,195862449,02/25/2020,3568,647.17,490.5,2309102.56,1750104,558998.56
Europe,UAE,Clothes,Online,H,03/18/2015,834554428,03/25/2015,2864,501.82,398.93,1437212.48,1142535.52,294676.96
Middle East and North Africa,India,Vegetables,Online,H,11/18/2022,253857132,11/27/2022,6875,164.33,116.29,1129768.75,799493.75,330275
Asia,UAE,Cosmetics,Offline,H,09/21/2020,638228272,10/03/2020,8046,582.57,412.96,4687358.22,3322676.16,1364682.06
Central America and the Caribbean,Kenya,Clothes,Online,H,12/05/2016,389377172,12/15/2016,5025,224.75,182.57,1129368.75,917414.25,211954.5
Sub-Saharan Africa,Japan,Vegetables,Offline,L,02/04/2014,566395484,02/08/2014,1298,501.63,381.08,651115.74,494641.84,156473.9
Central America and the Caribbean,Japan,Office Supplies,Offline,H,01/06/2010,350129266,02/04/2010,4575,303.73,184.09,1389564.75,842211.75,547353
Asia,UAE,Beverages,Online,C,03/03/2022,311219074,03/12/2022,2032,144.79,121.54,294213.28,246969.28,47244
Sub-Saharan Africa,Kenya,Household,Online,H,10/29/2022,853263633,11/12/2022,7037,511.07,325.02,3596399.59,2287165.74,1309233.85
Central America and the Caribbean,USA,Beverages,Online,M,06/18/2013,436885494,07/02/2013,2486,690.94,429.39,1717676.84,1067463.54,650213.3
Europe,Brazil,Cosmetics,Offline,C,11/17/2011,826035253,11/22/2011,8825,578.46,393.98,5104909.5,3476873.5,1628036
Middle East and North Africa,France,Baby Food,Offline,L,09/08/2015,197960806,09/17/2015,8499,190.74,150.18,1621099.26,1276379.82,344719.44
Europe,Kenya,Fruits,Online,C,05/04/2016,212929082,06/02/2016,6723,515.7,420.75,3467051.1,2828702.25,638348.85
Asia,Mexico,Fruits,Offline,L,02/10/2013,782299629,03/03/2013,7550,596.77,372.55,4505613.5,2812752.5,1692861
Australia and Oceania,USA,Snacks,Online,L,08/03/2011,987710381,08/28/2011,9779,409.13,290.29,4000882.27,2838745.91,1162136.36
Middle East and North Africa,Australia,Baby Food,Online,M,07/15/2020,211381912,08/03/2020,10473,262.19,191.04,2745915.87,2000761.92,745153.95
Middle East and North Africa,Germany,Household,Online,C,12/07/2022,378476463,12/13/2022,7782,561.76,363.77,4371616.32,2830858.14,1540758.18
Asia,Kenya,Fruits,Offline,M,12/13/2017,967740964,12/20/2017,2334,507.2,336.77,1183804.8,786021.18,397783.62
Sub-Saharan Africa,USA,Snacks,Offline,C,06/01/2021,922375919,06/09/2021,6259,605.83,447.5,3791889.97,2800902.5,990987.47
Asia,Japan,Fruits,Offline,H,02/08/2020,695665102,02/24/2020,11800,305.46,272.98,3604428,3221164,383264
North America,India,Personal Care,Offline,C,02/20/2020,553401366,03/03/2020,10425,74.79,58.18,779685.75,606526.5,173159.25
Central America and the Caribbean,Kenya,Cereal,Online,H,02/04/2015,232879541,02/16/2015,5901,225.13,179.83,1328492.13,1061176.83,267315.3
Sub-Saharan Africa,UAE,Clothes,Offline,L,05/16/2018,807849535,05/20/2018,10473,237.46,183.36,2486918.58,1920329.28,566589.3
Asia,UAE,Baby Food,Offline,M,05/31/2022,412432256,06/19/2022,1637,72.25,57.64,118273.25,94356.68,23916.57
Central America and the Caribbean,Australia,Beverages,Online,M,01/21/2019,218959051,01/31/2019,9313,210.57,138.67,1961038.41,1291433.71,669604.7
Europe,Mexico,Cosmetics,Offline,L,01/11/2013,306253683,01/30/2013,11589,123.33,107.35,1429271.37,1244079.15,185192.22
Middle East and North Africa,France,Meat,Offline,H,12/20/2019,322559853,01/16/2020,2744,161.81,108.41,444006.64,297477.04,146529.6
North America,Brazil,Beverages,Online,L,02/18/2012,974493249,03/11/2012,2782,422.92,325.57,1176563.44,905735.74,270827.7
Middle East and North Africa,Germany,Vegetables,Online,H,03/06/2020,752804408,03/21/2020,2845,140.41,108.39,399466.45,308369.55,91096.9
Europe,USA,Office Supplies,Online,M,03/09/2010,205041508,04/01/2010,9380,646.94,548.57,6068297.2,5145586.6,922710.6
North America,Japan,Cereal,Offline,H,03/21/2012,201197771,03/26/2012,10661,339.61,213.08,3620582.21,2271645.88,1348936.33
Europe,France,Fruits,Online,C,05/19/2013,170474975,05/22/2013,7736,82.92,63.59,641469.12,491932.24,149536.88
Australia and Oceania,UAE,Personal Care,Online,H,03/31/2014,356243350,04/27/2014,1343,175.81,126.32,236112.83,169647.76,66465.07
Asia,Mexico,Household,Offline,C,06/25/2013,232092504,07/24/2013,926,577.22,351.51,534505.72,325498.26,209007.46
Middle East and North Africa,Japan,Baby Food,Online,H,09/25/2010,218316462,10/07/2010,2638,233.77,207.18,616685.26,546540.84,70144.42
Sub-Saharan Africa,Japan,Fruits,Offline,C,10/31/2020,259854101,11/15/2020,9743,188.39,152.73,1835483.77,1488048.39,347435.38
Sub-Saharan Africa,Australia,Vegetables,Offline,C,01/04/2020,493562932,01/12/2020,4136,295.49,194.17,1222146.64,803087.12,419059.52
Europe,France,Household,Online,C,11/26/2016,320661990,12/23/2016,7306,604.58,459.9,4417061.48,3360029.4,1057032.08
North America,Mexico,Personal Care,Online,L,03/19/2018,545266427,04/06/2018,780,396.47,243.15,309246.6,189657,119589.6
Europe,France,Beverages,Online,M,07/26/2019,260394098,08/13/2019,6102,595.03,533.28,3630873.06,3254074.56,376798.5
North America,Germany,Clothes,Offline,L,09/22/2020,696354215,10/16/2020,550,8.59,5.59,4724.5,3074.5,1650
Central America and the Caribbean,India,Fruits,Online,M,12/22/2018,354564298,01/07/2019,11999,260.92,199.47,3130779.08,2393440.53,737338.55
Europe,India,Cosmetics,Online,L,03/11/2021,366625499,04/05/2021,9139,672.11,531.74,6142413.29,4859571.86,1282841.43
Australia and Oceania,France,Personal Care,Offline,L,09/26/2020,951878088,10/18/2020,10701,607.17,445.05,6497326.17,4762480.05,1734846.12
North America,Australia,Fruits,Online,H,12/28/2021,915564909,01/17/2022,7526,270.23,175.96,2033750.98,1324274.96,709476.02
Central America and the Caribbean,Japan,Office Supplies,Online,C,09/24/2018,674056359,10/03/2018,11299,328.92,248.17,3716467.08,2804072.83,912394.25
Sub-Saharan Africa,Australia,Meat,Offline,H,11/23/2014,205696290,12/12/2014,11672,87.85,60.29,1025385.2,703704.88,321680.32
Central America and the Caribbean,UAE,Fruits,Offline,L,10/05/2011,380036443,10/20/2011,7909,120.2,106.66,950661.8,843573.94,107087.86
Asia,France,Cereal,Offline,M,04/03/2012,105662114,04/17/2012,9726,436.47,353.8,4245107.22,3441058.8,804048.42
Central America and the Caribbean,Germany,Baby Food,Online,L,09/11/2014,374825636,09/30/2014,9056,496.53,320.41,4496575.68,2901632.96,1594942.72
Middle East and North Africa,France,Snacks,Offline,M,04/28/2012,938110858,05/19/2012,275,56.3,41.17,15482.5,11321.75,4160.75
Middle East and North Africa,India,Household,Offline,M,10/22/2019,471647629,11/02/2019,1209,587.18,497.3,709900.62,601235.7,108664.92
Europe,France,Office Supplies,Online,C,12/22/2020,107351967,12/31/2020,1750,678.33,556.65,1187077.5,974137.5,212940
Europe,Germany,Vegetables,Offline,H,02/22/2019,155373213,03/18/2019,351,9.82,7.34,3446.82,2576.34,870.48
North America,USA,Cosmetics,Online,C,07/18/2018,372125683,08/06/2018,1890,162.16,101.01,306482.4,190908.9,115573.5
Central America and the Caribbean,Australia,Household,Online,L,07/12/2013,387593560,07/27/2013,9311,425.62,304.89,3962947.82,2838830.79,1124117.03
Central America and the Caribbean,USA,Beverages,Online,M,03/14/2020,194380728,04/11/2020,1136,108.69,81.64,123471.84,92743.04,30728.8
Sub-Saharan Africa,Japan,Office Supplies,Offline,L,06/02/2011,116769264,06/10/2011,4730,270.99,232.93,1281782.7,1101758.9,180023.8
Europe,Japan,Clothes,Offline,H,08/01/2017,649008441,08/17/2017,4608,653.36,485.21,3010682.88,2235847.68,774835.2
Australia and Oceania,Mexico,Vegetables,Offline,M,03/08/2012,872273248,03/16/2012,7424,513.36,402.94,3811184.64,2991426.56,819758.08
Central America and the Caribbean,Japan,Vegetables,Offline,H,04/09/2012,166621622,04/27/2012,10448,357.49,246.28,3735055.52,2573133.44,1161922.08
North America,France,Fruits,Online,L,09/13/2014,924098072,09/16/2014,8596,562.27,365.13,4833272.92,3138657.48,1694615.44
Europe,Australia,Personal Care,Online,M,06/24/2012,304018491,07/21/2012,11260,284.73,186.73,3206059.8,2102579.8,1103480
Europe,France,Personal Care,Online,M,04/23/2022,449337684,04/27/2022,11728,480.34,333.06,5633427.52,3906127.68,1727299.84
Middle East and North Africa,Mexico,Beverages,Online,C,01/28/2015,941815502,02/17/2015,6012,582.9,351.25,3504394.8,2111715,1392679.8
Central America and the Caribbean,Brazil,Meat,Online,L,06/29/2014,671312350,07/06/2014,6604,682.34,436.35,4506173.36,2881655.4,1624517.96
Sub-Saharan Africa,Mexico,Snacks,Online,L,11/08/2020,943503401,11/17/2020,1285,207.8,175.34,267023,225311.9,41711.1
Central America and the Caribbean,Australia,Baby Food,Online,H,02/18/2021,546974095,02/24/2021,9756,405.81,309.34,3959082.36,3017921.04,941161.32
North America,UAE,Personal Care,Offline,L,12/08/2020,975894743,12/27/2020,11089,28.29,25.06,313707.81,277890.34,35817.47
Asia,Mexico,Cereal,Offline,C,10/11/2015,705622886,11/01/2015,10978,512.27,354.07,5623700.06,3886980.46,1736719.6
Central America and the Caribbean,UAE,Snacks,Offline,C,01/29/2013,576793456,02/16/2013,9247,56.06,48.6,518386.82,449404.2,68982.62
Asia,UAE,Personal Care,Online,M,05/01/2018,212188281,05/26/2018,5314,521.34,394.7,2770400.76,2097435.8,672964.96
North America,France,Office Supplies,Online,H,06/12/2021,984185213,07/09/2021,2042,418.32,279.77,854209.44,571290.34,282919.1
Australia and Oceania,Germany,Cereal,Online,L,12/16/2014,165267716,01/14/2015,8980,291.88,242.41,2621082.4,2176841.8,444240.6
Europe,Kenya,Office Supplies,Online,C,03/11/2011,481085479,04/05/2011,1762,270.7,180.86,476973.4,318675.32,158298.08
North America,Australia,Clothes,Offline,C,05/13/2011,405879324,05/22/2011,9666,631.11,394.38,6100309.26,3812077.08,2288232.18
North America,Germany,Personal Care,Offline,L,01/27/2021,426271196,02/03/2021,4733,464.63,288.73,2199093.79,1366559.09,832534.7
North America,Mexico,Meat,Offline,M,09/12/2016,221122857,10/03/2016,7602,6.84,4.27,51997.68,32460.54,19537.14
Australia and Oceania,France,Snacks,Offline,C,07/20/2021,910341989,08/09/2021,9901,290.25,244.88,2873765.25,2424556.88,449208.37
North America,India,Cereal,Online,H,07/03/2010,811000459,07/15/2010,11650,124.64,101.98,1452056,1188067,263989
Asia,Japan,Vegetables,Offline,H,08/09/2019,469636393,08/25/2019,5319,25.07,15.7,133347.33,83508.3,49839.03
Europe,Brazil,Vegetables,Online,C,02/27/2012,940444817,03/14/2012,3143,607.33,504,1908838.19,1584072,324766.19
Europe,Brazil,Household,Offline,H,03/18/2010,342999615,04/01/2010,5665,554.5,381.98,3141242.5,2163916.7,977325.8
Australia and Oceania,Germany,Office Supplies,Online,C,04/21/2012,323453276,05/03/2012,7059,637.01,403.43,4496653.59,2847812.37,1648841.22
North America,France,Cosmetics,Online,C,01/31/2019,329445431,02/14/2019,7720,370.36,238.34,2859179.2,1839984.8,1019194.4
Asia,USA,Beverages,Online,H,09/14/2021,932210530,09/19/2021,7260,214.29,131.8,1555745.4,956868,598877.4
Sub-Saharan Africa,Japan,Snacks,Online,C,12/21/2015,340839869,01/12/2016,6666,404.32,300.32,2695197.12,2001933.12,693264
Central America and the Caribbean,Brazil,Baby Food,Offline,C,11/14/2011,136758502,12/12/2011,4896,473.01,323.77,2315856.96,1585177.92,730679.04
Europe,Japan,Snacks,Online,M,03/10/2021,817279039,03/14/2021,4950,655.46,475.76,3244527,2355012,889515
Central America and the Caribbean,Mexico,Beverages,Offline,C,08/17/2022,850304427,08/18/2022,5303,425.26,349.17,2255153.78,1851648.51,403505.27
Central America and the Caribbean,USA,Household,Offline,H,01/30/2021,112464630,02/28/2021,6381,634.36,440.77,4047851.16,2812553.37,1235297.79
Central America and the Caribbean,Germany,Cereal,Online,C,01/19/2015,923075806,01/27/2015,3330,53.88,37.56,179420.4,125074.8,54345.6
Sub-Saharan Africa,France,Cosmetics,Online,H,09/03/2010,356876085,09/11/2010,10377,389.52,271.41,4042049.04,2816421.57,1225627.47
Central America and the Caribbean,Mexico,Snacks,Offline,C,10/20/2014,184680964,10/29/2014,11035,617.77,529.51,6817091.95,5843142.85,973949.1
Asia,Germany,Baby Food,Offline,H,07/16/2015,732420476,08/02/2015,9847,535.04,347.51,5268538.88,3421930.97,1846607.91
Central America and the Caribbean,UAE,Snacks,Offline,C,12/01/2017,910478714,12/16/2017,9850,436.47,371.92,4299229.5,3663412,635817.5
Sub-Saharan Africa,Australia,Personal Care,Offline,H,07/21/2013,841416992,08/09/2013,1976,453.93,397.25,896965.68,784966,111999.68
Middle East and North Africa,Kenya,Snacks,Online,C,04/08/2011,949324532,05/07/2011,1362,522.16,376.06,711181.92,512193.72,198988.2
North America,Germany,Beverages,Offline,C,04/01/2014,335917084,04/20/2014,5773,388.35,316.55,2241944.55,1827443.15,414501.4
Australia and Oceania,UAE,Personal Care,Online,H,07/30/2022,163618161,08/01/2022,5803,451.43,385.19,2619648.29,2235257.57,384390.72
Asia,Kenya,Office Supplies,Offline,M,10/25/2010,828936020,10/30/2010,3413,622.8,374.69,2125616.4,1278816.97,846799.43
North America,Australia,Vegetables,Offline,H,06/09/2018,895594511,06/12/2018,9318,230.43,140.79,2147146.74,1311881.22,835265.52
Australia and Oceania,France,Snacks,Online,M,12/01/2019,892212148,12/04/2019,10975,290.28,227.39,3185823,2495605.25,690217.75
Europe,Kenya,Baby Food,Offline,M,08/21/2018,193128800,08/29/2018,2968,67.23,41.93,199538.64,124448.24,75090.4
Middle East and North Africa,Germany,Household,Offline,C,05/10/2023,100540486,06/02/2023,4469,212.92,128.67,951539.48,575026.23,376513.25
Middle East and North Africa,Australia,Cereal,Offline,C,05/14/2016,379038972,06/06/2016,6176,486.75,391.15,3006168,2415742.4,590425.6
North America,France,Beverages,Online,H,08/06/2018,959776165,08/26/2018,8065,141.58,119.43,1141842.7,963202.95,178639.75
Australia and Oceania,UAE,Meat,Online,C,09/12/2018,624301524,10/10/2018,2071,680.82,427.87,1409978.22,886118.77,523859.45
Asia,Japan,Baby Food,Offline,M,10/30/2011,205193813,11/05/2011,10289,160.6,101.25,1652413.4,1041761.25,610652.15
North America,Kenya,Baby Food,Online,L,11/21/2021,136868718,12/07/2021,6269,550.59,449.95,3451648.71,2820736.55,630912.16
Sub-Saharan Africa,Germany,Cosmetics,Online,H,10/18/2013,531876221,11/15/2013,10636,123.7,108.2,1315673.2,1150815.2,164858
Central America and the Caribbean,UAE,Cereal,Online,H,05/17/2016,259274130,06/09/2016,8115,50.01,35.61,405831.15,288975.15,116856
Europe,France,Meat,Online,C,04/17/2015,636853286,05/14/2015,7412,450.41,337.06,3338438.92,2498288.72,840150.2
Asia,Brazil,Meat,Online,C,12/08/2010,978365728,12/22/2010,7561,567.93,424.37,4294118.73,3208661.57,1085457.16
Australia and Oceania,Mexico,Vegetables,Offline,L,02/14/2022,566943616,03/05/2022,7459,79.28,70.78,591349.52,527948.02,63401.5
Central America and the Caribbean,UAE,Meat,Online,L,12/30/2016,998491663,01/16/2017,8754,605.33,405.84,5299058.82,3552723.36,1746335.46
Middle East and North Africa,France,Personal Care,Offline,M,04/29/2015,457367750,05/20/2015,1990,83.69,52.21,166543.1,103897.9,62645.2
North America,France,Clothes,Online,C,09/04/2016,445694007,09/20/2016,4711,323.14,272.57,1522312.54,1284077.27,238235.27
Sub-Saharan Africa,UAE,Fruits,Online,M,04/04/2013,609010869,04/10/2013,11909,42.2,35.8,502559.8,426342.2,76217.6
Asia,Japan,Cosmetics,Online,L,09/11/2020,457249283,09/14/2020,941,623.25,482.16,586478.25,453712.56,132765.69
Europe,Brazil,Clothes,Online,M,01/16/2019,150857487,01/21/2019,4354,116.64,77.75,507850.56,338523.5,169327.06
Middle East and North Africa,Germany,Vegetables,Offline,L,12/07/2015,878808760,01/06/2016,5282,247.25,174.23,1305974.5,920282.86,385691.64
Central America and the Caribbean,Australia,Snacks,Offline,C,12/08/2020,136302882,12/24/2020,4284,489.44,371.11,2096760.96,1589835.24,506925.72
Sub-Saharan Africa,UAE,Cosmetics,Online,M,04/07/2010,329044073,04/09/2010,11463,435.05,386.52,4986978.15,4430678.76,556299.39
Middle East and North Africa,USA,Vegetables,Online,H,03/30/2022,517559266,04/22/2022,11894,277.97,227.58,3306175.18,2706836.52,599338.66
North America,USA,Cosmetics,Online,C,07/03/2012,772471921,07/30/2012,5865,548.39,366.13,3216307.35,2147352.45,1068954.9
Sub-Saharan Africa,UAE,Cosmetics,Online,C,03/17/2017,300566600,03/26/2017,9039,661.33,434.83,5977761.87,3930428.37,2047333.5
Middle East and North Africa,Germany,Fruits,Online,M,12/22/2013,143659538,01/20/2014,2949,272.97,235.09,804988.53,693280.41,111708.12
Central America and the Caribbean,Kenya,Meat,Offline,C,02/06/2016,262797206,03/06/2016,6266,605.81,444.83,3796005.46,2787304.78,1008700.68
Sub-Saharan Africa,Mexico,Fruits,Online,H,05/21/2016,883379302,06/03/2016,2192,525.59,416.7,1152093.28,913406.4,238686.88
Europe,Mexico,Meat,Offline,H,01/22/2015,718935304,01/28/2015,11682,569.57,509.61,6653716.74,5953264.02,700452.72
Asia,Germany,Cereal,Online,L,08/09/2019,248335032,08/29/2019,9227,633.77,542.81,5847795.79,5008507.87,839287.92
Middle East and North Africa,India,Cereal,Online,L,02/17/2016,500112335,02/19/2016,1613,206.52,175,333116.76,282275,50841.76
Australia and Oceania,Germany,Snacks,Offline,C,09/11/2016,896373425,10/09/2016,9394,552.38,445.15,5189057.72,4181739.1,1007318.62
Middle East and North Africa,USA,Personal Care,Offline,M,06/20/2021,964035581,07/15/2021,6382,542.48,469.81,3462107.36,2998327.42,463779.94
Asia,France,Beverages,Offline,C,03/13/2010,974306875,04/12/2010,10747,674.94,449.01,7253580.18,4825510.47,2428069.71
Sub-Saharan Africa,France,Vegetables,Offline,H,03/21/2023,439332379,03/30/2023,4337,39.49,25.67,171268.13,111330.79,59937.34
Central America and the Caribbean,Germany,Cosmetics,Online,M,11/29/2013,443350588,12/03/2013,7572,245.73,168.13,1860667.56,1273080.36,587587.2
Europe,UAE,Clothes,Online,H,10/29/2019,371760570,11/19/2019,2444,444.41,390.36,1086138.04,954039.84,132098.2
North America,Brazil,Personal Care,Online,M,07/10/2011,317744924,07/18/2011,7699,87.75,74.92,675587.25,576809.08,98778.17
North America,Australia,Meat,Offline,C,04/27/2015,277042353,05/10/2015,6158,75.03,55.44,462034.74,341399.52,120635.22
Central America and the Caribbean,Germany,Snacks,Offline,M,03/20/2018,994871562,04/02/2018,8053,520.15,340.01,4188767.95,2738100.53,1450667.42
Asia,Australia,Personal Care,Offline,C,07/27/2015,974043762,08/07/2015,10175,255.25,211.31,2597168.75,2150079.25,447089.5
Australia and Oceania,USA,Cereal,Offline,M,01/08/2010,212750466,01/19/2010,6006,399.22,325.65,2397715.32,1955853.9,441861.42
North America,USA,Baby Food,Offline,H,10/04/2010,960572995,10/29/2010,5611,317.73,193.62,1782783.03,1086401.82,696381.21
North America,France,Fruits,Online,H,11/13/2018,263082389,12/04/2018,6568,192.44,125.16,1263945.92,822050.88,441895.04
Australia and Oceania,UAE,Vegetables,Offline,L,05/07/2020,724892206,05/17/2020,5978,583.27,488.7,3486788.06,2921448.6,565339.46
Australia and Oceania,USA,Office Supplies,Online,M,06/02/2019,718805159,06/20/2019,7024,8.93,6.54,62724.32,45936.96,16787.36
North America,Japan,Clothes,Offline,C,11/13/2022,581349675,11/17/2022,11873,508.38,331.04,6035995.74,3930437.92,2105557.82
Central America and the Caribbean,Brazil,Meat,Online,L,05/06/2010,470475302,05/30/2010,8537,576.62,461.92,4922604.94,3943411.04,979193.9
Middle East and North Africa,Germany,Cereal,Online,L,12/28/2010,787740557,12/30/2010,5505,506.17,454.08,2786465.85,2499710.4,286755.45
Europe,Germany,Baby Food,Offline,M,11/01/2015,253152589,11/10/2015,2498,288.83,228.62,721497.34,571092.76,150404.58
North America,France,Cosmetics,Offline,M,06/06/2023,655905239,06/27/2023,1604,159.8,115.44,256319.2,185165.76,71153.44
Central America and the Caribbean,Mexico,Vegetables,Offline,C,06/12/2021,766398960,07/06/2021,9759,453.59,354.88,4426584.81,3463273.92,963310.89
Sub-Saharan Africa,Kenya,Baby Food,Offline,C,07/06/2023,707827429,07/12/2023,4840,497.89,437.64,2409787.6,2118177.6,291610
Middle East and North Africa,Kenya,Household,Online,L,09/20/2013,788755242,09/27/2013,9859,130.46,95.22,1286205.14,938773.98,347431.16
Central America and the Caribbean,UAE,Beverages,Offline,C,11/09/2012,487471957,12/08/2012,457,37.61,27.86,17187.77,12732.02,4455.75
North America,Mexico,Cosmetics,Online,C,03/19/2011,681365166,03/31/2011,8799,187.42,126.39,1649108.58,1112105.61,537002.97
Sub-Saharan Africa,Japan,Beverages,Offline,L,04/13/2014,705872650,05/04/2014,11745,144.47,123.64,1696800.15,1452151.8,244648.35
Middle East and North Africa,India,Baby Food,Offline,C,04/20/2017,219428495,05/09/2017,10036,24.62,21.79,247086.32,218684.44,28401.88
Australia and Oceania,France,Office Supplies,Offline,H,06/22/2014,337462093,07/17/2014,2107,382.01,274.24,804895.07,577823.68,227071.39
Australia and Oceania,Japan,Meat,Online,L,09/03/2016,262682356,09/25/2016,2379,137.63,86.07,327421.77,204760.53,122661.24
Europe,Kenya,Fruits,Online,C,10/19/2015,194737375,10/21/2015,8375,498.21,379.05,4172508.75,3174543.75,997965
Asia,Australia,Meat,Offline,M,07/21/2016,979571438,08/05/2016,3979,40.8,25.74,162343.2,102419.46,59923.74
Sub-Saharan Africa,Japan,Meat,Online,C,08/25/2013,772268458,09/01/2013,3013,273.48,169.13,823995.24,509588.69,314406.55
Asia,Japan,Cereal,Offline,C,02/01/2017,235927190,02/04/2017,7153,239.19,145.41,1710926.07,1040117.73,670808.34
